timestamp,state
1782446285.708,"[0.110778,0.410091,0.400000,-179.8400,0.8600,2.2403,1]"
1782446285.948,"[0.110778,0.410091,0.399999,-179.8401,0.8600,2.2403,1]"
1782446286.172,"[0.110778,0.410091,0.399993,-179.8399,0.8600,2.2403,1]"
1782446286.394,"[0.110778,0.410094,0.399965,-179.8398,0.8600,2.2403,1]"
1782446286.613,"[0.110778,0.410097,0.399917,-179.8400,0.8600,2.2403,1]"
1782446286.835,"[0.110777,0.410103,0.399830,-179.8401,0.8599,2.2404,1]"
1782446287.054,"[0.110777,0.410111,0.399692,-179.8395,0.8600,2.2404,1]"
1782446287.283,"[0.110775,0.410127,0.399496,-179.8402,0.8600,2.2403,1]"
1782446287.506,"[0.110774,0.410146,0.399222,-179.8401,0.8600,2.2403,1]"
1782446287.725,"[0.110772,0.410167,0.398914,-179.8401,0.8600,2.2403,1]"
1782446287.943,"[0.110770,0.410194,0.398502,-179.8400,0.8600,2.2402,1]"
1782446288.163,"[0.110768,0.410230,0.397956,-179.8402,0.8599,2.2400,1]"
1782446288.382,"[0.110765,0.410266,0.397386,-179.8399,0.8599,2.2399,1]"
1782446288.601,"[0.110762,0.410313,0.396615,-179.8400,0.8599,2.2398,1]"
1782446288.820,"[0.110758,0.410358,0.395849,-179.8402,0.8599,2.2398,1]"
1782446289.039,"[0.110752,0.410417,0.394803,-179.8400,0.8599,2.2398,1]"
1782446289.261,"[0.110748,0.410467,0.393865,-179.8397,0.8599,2.2398,1]"
1782446289.484,"[0.110744,0.410519,0.392790,-179.8400,0.8599,2.2398,1]"
1782446289.704,"[0.110739,0.410571,0.391645,-179.8401,0.8599,2.2397,1]"
1782446289.926,"[0.110735,0.410620,0.390446,-179.8398,0.8599,2.2396,1]"
1782446290.148,"[0.110731,0.410670,0.389111,-179.8402,0.8599,2.2396,1]"
1782446290.377,"[0.110727,0.410713,0.387828,-179.8398,0.8599,2.2395,1]"
1782446290.603,"[0.110724,0.410750,0.386523,-179.8397,0.8599,2.2395,1]"
1782446290.824,"[0.110721,0.410784,0.385096,-179.8399,0.8599,2.2395,1]"
1782446291.050,"[0.110719,0.410810,0.383766,-179.8398,0.8599,2.2394,1]"
1782446291.270,"[0.110717,0.410831,0.382331,-179.8398,0.8599,2.2394,1]"
1782446291.493,"[0.110716,0.410845,0.380997,-179.8402,0.8599,2.2393,1]"
1782446291.712,"[0.110716,0.410853,0.379659,-179.8397,0.8599,2.2393,1]"
1782446291.931,"[0.110715,0.410855,0.378318,-179.8398,0.8599,2.2393,1]"
1782446292.154,"[0.110716,0.410851,0.376984,-179.8397,0.8599,2.2392,1]"
1782446292.375,"[0.110717,0.410842,0.375641,-179.8398,0.8600,2.2392,1]"
1782446292.598,"[0.110718,0.410825,0.374298,-179.8401,0.8600,2.2392,1]"
1782446292.822,"[0.110720,0.410802,0.372864,-179.8396,0.8600,2.2392,1]"
1782446293.043,"[0.110722,0.410773,0.371520,-179.8400,0.8600,2.2391,1]"
1782446293.262,"[0.110725,0.410740,0.370189,-179.8397,0.8600,2.2392,1]"
1782446293.484,"[0.110728,0.410701,0.368880,-179.8399,0.8601,2.2391,1]"
1782446293.704,"[0.110733,0.410658,0.367596,-179.8395,0.8601,2.2391,1]"
1782446293.924,"[0.110737,0.410607,0.366266,-179.8396,0.8601,2.2391,1]"
1782446294.147,"[0.110741,0.410560,0.365155,-179.8397,0.8602,2.2391,1]"
1782446294.371,"[0.110745,0.410508,0.364014,-179.8398,0.8602,2.2390,1]"
1782446294.596,"[0.110750,0.410451,0.362871,-179.8397,0.8602,2.2390,1]"
1782446294.820,"[0.110755,0.410398,0.361879,-179.8399,0.8602,2.2390,1]"
1782446295.046,"[0.110759,0.410345,0.360920,-179.8396,0.8603,2.2389,1]"
